episode,reward
0,0.28125
100,0.59725
200,1.44025
300,1.6665
400,1.8665
500,1.93475
600,1.9715
700,1.778
800,1.95725
900,1.99325
1000,2.1605
1100,1.89025
1200,2.01975
1300,1.8685
1400,2.23825
1500,2.1165
1600,2.20275
1700,2.012
1800,1.89
1900,1.7985
2000,1.687
2100,1.97475
2200,2.15875
2300,2.106
2400,2.03175
2500,1.94125
2600,1.85875
2700,1.98325
2800,2.04425
2900,2.19625
3000,2.054
3100,1.907
3200,2.1425
3300,2.038
3400,2.09275
3500,1.91475
3600,2.1205
3700,2.14
3800,2.186
3900,2.134
4000,2.1085
4100,2.05075
4200,2.0175
4300,2.2405
4400,2.24975
4500,2.16725
4600,2.2395
4700,2.069
4800,2.152
4900,2.2245
